axis,criterion_id,criterion_name,scoring_mode,metric_id,metric_name,metric_role,metric_signal_type,system_rule,ai_validation_needed,evidence_quality_rule,reproducibility_rule,independence_rule,escalation_rule,downgrade_rule,notes
ステージ,S1,内容範囲,ハイブリッド,M-S1-1,トピックタイプ分布,主要,分布／カウント,サンプル内で異なるトピック領域カテゴリの数をカウントする。,はい,EQ=0 個人的な狭い領域のみ；EQ=1 学校／日常を含む2領域；EQ=2 学術／概念的または3領域以上；EQ=3 抽象／社会的領域がサンプル全体で持続。,REP=0 単発のみ；REP=1 1タスク内で複数ターン；REP=2 2タスク／セグメントで確認；REP=3 タスクと時間を通じて安定。,IND は最も質の高い証拠の support_type に基づく：0 モデル提示，1 強いプロンプト，2 足場／軽いプロンプト，3 自立。,M-S1-3 または M-S1-4 がAIにより明確かつ持続的と検証された場合は引き上げ。,概念的深さのない単なる話題切替だけなら引き下げ。,トピックの広さだけで S2／S3 の裏付けなしにステージを上げない。
ステージ,S1,内容範囲,ハイブリッド,M-S1-2,年齢／学年概念適合,補助,順序／判断,内容が年齢／学年レベルの概念期待に合うかを判定。,はい,具体的日常会話を超える適合が明確な場合，証拠バンドに +1。,基準レベルの再現性集約と同じ。,基準レベルの独立性集約と同じ。,独立した説明で現れる場合は引き上げ。,暗記／定型の可能性がある場合は引き下げ。,単独の根拠として使わない。
ステージ,S1,内容範囲,ハイブリッド,M-S1-3,抽象トピック出現,補助,二値／カウント,抽象／一般化トピック候補を検出しAIが抽象性を検証。,はい,検証された抽象トピックはS1のEQ=2候補。,複数ターン／タスクで出た場合のみREP増加。,INDは支援状況から。,S3の抽象／一般化と結びつく場合は引き上げ。,抽象語でも内容が具体なら引き下げ。,抽象語彙と抽象内容を混同しない。
ステージ,S1,内容範囲,ハイブリッド,M-S1-4,社会／価値トピック出現,補助,二値／カウント,社会・公平・規則・価値のトピックを検出。,はい,持続すればEQ=3まで押し上げ可能。,REPは複数出現から算出。,INDは支援状況から。,単なるラベルではなく価値議論を持続すれば引き上げ。,教師の言葉の繰り返しのみなら引き下げ。,高次トピック領域の指標。
ステージ,S2,談話構成,ハイブリッド,M-S2-1,断片応答率,主要,割合,断片的／最小展開の応答割合を計算。,いいえ,EQ=0 断片が支配；EQ=1 接続発話が出始める；EQ=2 順序／接続談話が繰り返し出現；EQ=3 組織化説明／要約が持続。,REP=0 単発；REP=1 1タスク内反復；REP=2 2タスク／区間で出現；REP=3 時間を通じ安定。,INDは組織談話の証拠の support_type。,説明／要約／議論を支える場合は引き上げ。,マーカーだけで内容が無秩序なら引き下げ。,逆指標：断片率が低いほどEQ高。
ステージ,S2,談話構成,ハイブリッド,M-S2-2,順序マーカー使用,主要,カウント／割合,談話イベントに結びつく順序マーカー数。,低,EQ=1 単発順序；EQ=2 完整エピソード；EQ=3 持続的構造。,REP同上。,IND同上。,説明／要約／議論に役立つ場合引き上げ。,無秩序なら引き下げ。,C境界強い指標。
ステージ,S2,談話構成,ハイブリッド,M-S2-3,エピソード完結度,主要,順序,AIが談話構造（開始・展開・結び）を判定。,はい,完結エピソードでEQ=2；複数でEQ=3。,REP同上。,IND同上。,説明等なら引き上げ。,無秩序なら引き下げ。,談話レベル判断。
ステージ,S2,談話構成,ハイブリッド,M-S2-4,説明ユニット数,主要,カウント,主張・理由・例など説明単位数。,中,EQ=1 1ユニット；EQ=2 2以上；EQ=3 複数持続。,REP同上。,IND同上。,説明等なら引き上げ。,無秩序なら引き下げ。,D/E境界。
ステージ,S2,談話構成,ハイブリッド,M-S2-5,要約構造出現,補助,二値／順序,AIが整理された要約か検証。,はい,有効要約で+1バンド。,REP同上。,IND同上。,説明等なら引き上げ。,無秩序なら引き下げ。,高度構造指標。
ステージ,S3,推論の深さ,AI検証,M-S3-1,理由発話数,主要,カウント,行動／意見の理由数。,はい,EQ=1 理由1；EQ=2 複数；EQ=3 深い説明構造。,REP reasoning頻度。,IND reasoning部分のみ。,多種類推論で引き上げ。,形式的理由なら引き下げ。,基本推論。
ステージ,S3,推論の深さ,AI検証,M-S3-2,因果説明数,主要,カウント,因果関係表現をAI検証。,はい,EQ=2 因果1–2；EQ=3 繰り返し因果。,REP同上。,IND同上。,複合推論で引き上げ。,弱い因果なら引き下げ。,D主要指標。
ステージ,S3,推論の深さ,AI検証,M-S3-3,比較／対比数,補助,カウント,比較関係数。,はい,意味ある比較で+1。,REP同上。,IND同上。,複合推論で引き上げ。,弱い比較なら引き下げ。,D/E補助。
ステージ,S3,推論の深さ,AI検証,M-S3-4,一般化／抽象化,補助,二値／順序,具体例から一般原理。,はい,推論と組み合わさるとEQ=3。,REP同上。,IND同上。,複合推論で引き上げ。,弱い場合引き下げ。,E指標。
ステージ,S3,推論の深さ,AI検証,M-S3-5,評価／批判,補助,二値／順序,評価的立場。,はい,EQ=3支持。,REP同上。,IND同上。,複合推論で引き上げ。,弱い場合引き下げ。,F指標。
ステージ,S3,推論の深さ,AI検証,M-S3-6,反論認識,補助,二値／カウント,他視点認識。,はい,高レベル推論でEQ=3。,REP同上。,IND同上。,複合推論で引き上げ。,弱い場合引き下げ。,F証拠。
ステージ,S4,聞き取りによる意味構築,ハイブリッド,M-S4-1,WH質問応答正確度,主要,割合,リスニング後正答率。,低,EQ=1 文字理解；EQ=2 記憶超え；EQ=3 高度理解。,REP listening数。,IND理解支援程度。,主旨／因果理解なら引き上げ。,ヒント依存なら引き下げ。,基礎。
ステージ,S4,聞き取りによる意味構築,ハイブリッド,M-S4-2,主旨理解,主要,割合／順序,AIが主旨回答を検証。,はい,EQ=2支持。,REP同上。,IND同上。,主旨理解なら引き上げ。,ヒント依存なら引き下げ。,意味理解。
ステージ,S4,聞き取りによる意味構築,ハイブリッド,M-S4-3,順序理解,補助,割合,順序再構成能力。,中,EQ=2補助。,REP同上。,IND同上。,主旨理解なら引き上げ。,ヒント依存なら引き下げ。,C支持。
ステージ,S4,聞き取りによる意味構築,ハイブリッド,M-S4-4,因果理解,補助,割合／順序,因果理解。,はい,EQ=2–3支持。,REP同上。,IND同上。,主旨理解なら引き上げ。,ヒント依存なら引き下げ。,D支持。
ステージ,S4,聞き取りによる意味構築,ハイブリッド,M-S4-5,抽象理解,補助,割合／順序,抽象点理解。,はい,EQ=3支持。,REP同上。,IND同上。,抽象理解なら引き上げ。,ヒント依存なら引き下げ。,E/F支持。
ステージ,S4,聞き取りによる意味構築,ハイブリッド,M-S4-6,リスニング後要約質,補助,順序,AIが要約評価。,はい,EQ=3支持。,REP同上。,IND同上。,抽象理解なら引き上げ。,ヒント依存なら引き下げ。,高度理解。
ステージ,S5,意見形成,AI検証,M-S5-1,感情／好み発話,補助,カウント,好み発話数。,はい,単独ではEQ=1まで。,REP opinion頻度。,IND opinion部分。,証拠付なら引き上げ。,弱い場合引き下げ。,低レベル意見。
ステージ,S5,意見形成,AI検証,M-S5-2,理由付き意見,主要,カウント,理由付き意見数。,はい,EQ=1 1件；EQ=2 繰返；EQ=3 拡張。,REP同上。,IND同上。,証拠付なら引き上げ。,弱い場合引き下げ。,C/D境界。
ステージ,S5,意見形成,AI検証,M-S5-3,例／証拠付き意見,主要,カウント,証拠付き意見数。,はい,EQ=2–3支持。,REP同上。,IND同上。,証拠付なら引き上げ。,弱い場合引き下げ。,D/E支持。
ステージ,S5,意見形成,AI検証,M-S5-4,意見一貫性,主要,順序,理由と主張整合。,はい, =+1バンド。,REP同上。,IND同上。,証拠付なら引き上げ。,弱い場合引き下げ。,質指標。
ステージ,S5,意見形成,AI検証,M-S5-5,異なる意見への応答,補助,二値／順序,他視点対応。,はい,EQ=3支持。,REP同上。,IND同上。,証拠付なら引き上げ。,弱い場合引き下げ。,E/F支持。
ステージ,S6,情報統合,AI検証,M-S6-1,複数情報参照,主要,カウント,複数情報数。,はい,EQ=1 列挙；EQ=2 統合；EQ=3 分析統合。,REP integration頻度。,IND integration部分。,統合なら引き上げ。,単列挙なら引き下げ。,統合必要。
ステージ,S6,情報統合,AI検証,M-S6-2,要約圧縮率,補助,派生,要約圧縮度。,はい, =+1バンド。,REP同上。,IND同上。,統合なら引き上げ。,弱い場合引き下げ。,E/F支持。
ステージ,S6,情報統合,AI検証,M-S6-3,共通点／差異整理,主要,順序,比較整理。,はい,EQ=2–3支持。,REP同上。,IND同上。,統合なら引き上げ。,弱い場合引き下げ。,S3と重複可。
ステージ,S6,情報統合,AI検証,M-S6-4,事実／意見区別,補助,順序,事実と解釈区別。,はい,EQ=3支持。,REP同上。,IND同上。,統合なら引き上げ。,弱い場合引き下げ。,高次統合。
ステージ,S6,情報統合,AI検証,M-S6-5,出典参照,補助,カウント,出典言及数。,はい,統合支持時EQ上昇。,REP同上。,IND同上。,統合なら引き上げ。,弱い場合引き下げ。,高度。
ステージ,S7,聞き手・目的意識,AI検証,M-S7-1,聞き手配慮の言い換え,主要,カウント／順序,聞き手のための再説明。,はい,EQ=1 単発；EQ=2 繰返；EQ=3 持続。,REP audience頻度。,IND audience部分。,説得等と併存なら引き上げ。,弱い場合引き下げ。,自己修正と別。
ステージ,S7,聞き手・目的意識,AI検証,M-S7-2,説明のための例使用,補助,カウント／順序,例が理解を助けるか。,はい,EQ上昇可。,REP同上。,IND同上。,説得等と併存なら引き上げ。,弱い場合引き下げ。,S5と重複可。
ステージ,S7,聞き手・目的意識,AI検証,M-S7-3,発表フレーミング,主要,二値／順序,導入／結論など。,はい,EQ=2–3。,REP同上。,IND同上。,説得等と併存なら引き上げ。,弱い場合引き下げ。,E/F支持。
ステージ,S7,聞き手・目的意識,AI検証,M-S7-4,説得志向,補助,二値／順序,説得的談話。,はい,EQ=3支持。,REP同上。,IND同上。,説得等と併存なら引き上げ。,弱い場合引き下げ。,F支持。
ステージ,S9,多言語リソース修飾,修飾,M-S9-1,L1支援概念向上,修飾,順序,L1使用時の概念差。,はい,コアEQには使わず修飾指標。,REP差の安定性。,IND未使用。,日本語制約時ステージ解釈上昇。,S9のみで判定不可。,修飾のみ。
ステージ,S9,多言語リソース修飾,修飾,M-S9-2,足場での概念表現,修飾,順序,言語足場後の向上。,はい,修飾強度。,REP差の安定性。,IND未使用。,日本語制約時ステージ解釈上昇。,S9のみで判定不可。,修飾のみ。
ステージ,S9,多言語リソース修飾,修飾,M-S9-3,日本語のみ差分,修飾,派生,支援有無の差。,はい,差大きいほど強い。,REP差の安定性。,IND未使用。,日本語制約時ステージ解釈上昇。,S9のみで判定不可。,修飾のみ。
ステップ,J1,語彙範囲,ハイブリッド,M-J1-1,基本日常語彙カバレッジ,主要,割合,関連タスク内で高頻度の日常語彙のカバレッジを計算する。,低,EQ=1 日常語彙がルーティン的な意味伝達を支えるのに十分；EQ=2 語彙が狭い定型セットを超える；EQ=3 概念語彙／抽象語彙が広く安定している。,REP=0 語彙水準が1つの狭い話題でのみ見られる；REP=1 1タスク内で反復；REP=2 複数タスク／話題で見られる；REP=3 領域横断かつ時間的に安定。,IND は語彙が自立して産出／理解されているか，それともモデル提示やプロンプト後のみかに基づく。,概念語彙／抽象語彙が複数領域で自立的に現れる場合は引き上げる。,稀な語が暗記／定型で生産的でない場合は引き下げる。,下位〜中位ステップの中核指標。
ステップ,J1,語彙範囲,ハイブリッド,M-J1-2,語彙多様性指数,補助,派生,サンプル長を正規化した調整済み語彙多様性を計算する。,いいえ,多様性がサンプル型に対して十分に強い場合，EQを1バンド引き上げる。,REP=0 語彙水準が1つの狭い話題でのみ見られる；REP=1 1タスク内で反復；REP=2 複数タスク／話題で見られる；REP=3 領域横断かつ時間的に安定。,IND は語彙が自立して産出／理解されているか，それともモデル提示やプロンプト後のみかに基づく。,概念語彙／抽象語彙が複数領域で自立的に現れる場合は引き上げる。,稀な語が暗記／定型で生産的でない場合は引き下げる。,精密さではなく広がりの指標。
ステップ,J1,語彙範囲,ハイブリッド,M-J1-3,概念語彙の出現,主要,カウント,学校語彙／基本概念語彙を数え，曖昧な場合はAIが概念使用を検証する。,中,ステップ6相当の範囲としてEQ=2を正当化しうる。,REP=0 語彙水準が1つの狭い話題でのみ見られる；REP=1 1タスク内で反復；REP=2 複数タスク／話題で見られる；REP=3 領域横断かつ時間的に安定。,IND は語彙が自立して産出／理解されているか，それともモデル提示やプロンプト後のみかに基づく。,概念語彙／抽象語彙が複数領域で自立的に現れる場合は引き上げる。,稀な語が暗記／定型で生産的でない場合は引き下げる。,5→6の主要な補強指標。
ステップ,J1,語彙範囲,ハイブリッド,M-J1-4,抽象語彙の出現,主要,カウント,抽象語彙／学術語彙を数え，曖昧な場合はAIが抽象的使用を検証する。,中,使用が安定し意味のあるものであればEQ=3を正当化しうる。,REP=0 語彙水準が1つの狭い話題でのみ見られる；REP=1 1タスク内で反復；REP=2 複数タスク／話題で見られる；REP=3 領域横断かつ時間的に安定。,IND は語彙が自立して産出／理解されているか，それともモデル提示やプロンプト後のみかに基づく。,概念語彙／抽象語彙が複数領域で自立的に現れる場合は引き上げる。,稀な語が暗記／定型で生産的でない場合は引き下げる。,6→7/8の主要な補強指標。
ステップ,J1,語彙範囲,ハイブリッド,M-J1-5,話題横断的語彙の広がり,補助,順序,語彙の広がりが1つの定型話題ではなく複数領域にまたがるかをAIが判定する。,はい,広がりが暗記ではなく領域横断的であるときEQを引き上げる。,REP=0 語彙水準が1つの狭い話題でのみ見られる；REP=1 1タスク内で反復；REP=2 複数タスク／話題で見られる；REP=3 領域横断かつ時間的に安定。,IND は語彙が自立して産出／理解されているか，それともモデル提示やプロンプト後のみかに基づく。,概念語彙／抽象語彙が複数領域で自立的に現れる場合は引き上げる。,稀な語が暗記／定型で生産的でない場合は引き下げる。,定型暗記への安全装置。
ステップ,J2,語彙精度,AI検証,M-J2-1,語選択の正確さ,主要,割合／順序,選ばれた語が文脈内で意図された意味に合っているかをAIが判定する。,はい,EQ=1 意味はたいてい回復可能；EQ=2 語選択がしばしば適切；EQ=3 微妙で精密な語選択がしばしば適切。,REP=0 精密さが単発項目でのみ見られる；REP=1 1タスク内で反復；REP=2 複数タスクで見られる；REP=3 領域・文脈をまたいで安定。,IND は精密な語選択が自立的か，足場かけ／提示依存かに基づく。,抽象的または不慣れな話題でも精密さが保たれる場合は引き上げる。,見かけ上の精密さが直前に提示された語彙に依存する場合は引き下げる。,高位ステップほど重要。
ステップ,J2,語彙精度,AI検証,M-J2-2,コロケーションの正確さ,補助,割合／順序,一般的な語の組み合わせの自然さをAIが判定する。,はい,高位ステップでEQを引き上げうる。,REP=0 精密さが単発項目でのみ見られる；REP=1 1タスク内で反復；REP=2 複数タスクで見られる；REP=3 領域・文脈をまたいで安定。,IND は精密な語選択が自立的か，足場かけ／提示依存かに基づく。,抽象的または不慣れな話題でも精密さが保たれる場合は引き上げる。,見かけ上の精密さが直前に提示された語彙に依存する場合は引き下げる。,高位ステップ指標。
ステップ,J2,語彙精度,AI検証,M-J2-3,近似表現への依存,補助,割合,精密な語が必要な場面で曖昧な近似表現への依存度を計算／推定する。,はい,依存が高い場合，EQは1〜2に上限づけられる。,REP=0 精密さが単発項目でのみ見られる；REP=1 1タスク内で反復；REP=2 複数タスクで見られる；REP=3 領域・文脈をまたいで安定。,IND は精密な語選択が自立的か，足場かけ／提示依存かに基づく。,抽象的または不慣れな話題でも精密さが保たれる場合は引き上げる。,見かけ上の精密さが直前に提示された語彙に依存する場合は引き下げる。,逆指標。
ステップ,J2,語彙精度,AI検証,M-J2-4,抽象語の適切さ,主要,順序,抽象的な語が文脈の中で適切に使われているかをAIが検証する。,はい,安定していればEQ=3を正当化しうる。,REP=0 精密さが単発項目でのみ見られる；REP=1 1タスク内で反復；REP=2 複数タスクで見られる；REP=3 領域・文脈をまたいで安定。,IND は精密な語選択が自立的か，足場かけ／提示依存かに基づく。,抽象的または不慣れな話題でも精密さが保たれる場合は引き上げる。,見かけ上の精密さが直前に提示された語彙に依存する場合は引き下げる。,ステップ7〜8を支える。
ステップ,J3,文の複雑さ,主に自動,M-J3-1,単語／句のみ応答率,主要,割合,応答のうち単語／句のみに限られる割合を計算する。,いいえ,EQ=0 それが支配的；EQ=1 単語／句がもはや支配的でない；EQ=2 単文＋基本複文が定期的に現れる；EQ=3 高度な複雑構文が安定して現れる。,REP=0 目標複雑性が1回のみ；REP=1 1タスク内で反復；REP=2 複数タスクで見られる；REP=3 文脈横断で安定。,IND は複雑構造が自発的か，モデル依存／反復依存かに基づく。,複雑さが機能的で，単なる暗記パターンでない場合は引き上げる。,節らしき形が定型的または断片的なら引き下げる。,下位ステップの逆指標。
ステップ,J3,文の複雑さ,主に自動,M-J3-2,単文率,主要,割合,解釈可能な単文の割合を計算する。,いいえ,EQ=1 単文が安定したデフォルトであるとき。,REP=0 目標複雑性が1回のみ；REP=1 1タスク内で反復；REP=2 複数タスクで見られる；REP=3 文脈横断で安定。,IND は複雑構造が自発的か，モデル依存／反復依存かに基づく。,複雑さが機能的で，単なる暗記パターンでない場合は引き上げる。,節らしき形が定型的または断片的なら引き下げる。,ステップ3の中核しきい値。
