axis,criterion_id,criterion_name,scoring_mode,metric_id,metric_name,metric_role,metric_signal_type,system_rule,ai_validation_needed,evidence_quality_rule,reproducibility_rule,independence_rule,escalation_rule,downgrade_rule,notes
ステップ,J3,文の複雑さ,主に自動,M-J3-3,基本複文率,主要,割合,単文を超える従属節・重文構造をカウント／推定する。,低,EQ=2 基本的な複雑構造が生産的かつ反復的に現れるとき。,REP=0 目標複雑性が1回のみ；REP=1 1タスク内で反復；REP=2 複数タスクで見られる；REP=3 文脈横断で安定。,IND は複雑構造が自発的か，モデル依存／反復依存かに基づく。,複雑さが機能的で，単なる暗記パターンでない場合は引き上げる。,節らしき形が定型的または断片的なら引き下げる。,ステップ4〜5の中核しきい値。
ステップ,J3,文の複雑さ,主に自動,M-J3-4,高度複雑構造の出現,補助,カウント／順序,埋め込みや連鎖を含む高度な構造を検出し，必要に応じてAIが検証する。,中,反復的かつ機能的であればEQ=3を正当化しうる。,REP=0 目標複雑性が1回のみ；REP=1 1タスク内で反復；REP=2 複数タスクで見られる；REP=3 文脈横断で安定。,IND は複雑構造が自発的か，モデル依存／反復依存かに基づく。,複雑さが機能的で，単なる暗記パターンでない場合は引き上げる。,節らしき形が定型的または断片的なら引き下げる。,ステップ6以上を支える。
ステップ,J3,文の複雑さ,主に自動,M-J3-5,1発話あたり平均節数,補助,派生,1発話あたりの平均節数を計算する。,いいえ,EQバンド分けを補助するが単独根拠にはしない。,REP=0 目標複雑性が1回のみ；REP=1 1タスク内で反復；REP=2 複数タスクで見られる；REP=3 文脈横断で安定。,IND は複雑構造が自発的か，モデル依存／反復依存かに基づく。,複雑さが機能的で，単なる暗記パターンでない場合は引き上げる。,節らしき形が定型的または断片的なら引き下げる。,派生補助のみ。
ステップ,J4,文法運用,ハイブリッド,M-J4-1,助詞の正確さ,主要,割合,必須文脈における助詞の正確さを計算し，曖昧な場合はAIが確認する。,中,EQ=1 誤りが多くても多くの発話が解釈可能；EQ=2 一般的な助詞使用がしばしば統制されている；EQ=3 統制が広く安定している。,REP=0 統制が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は正しい形が自発的か，模倣／面接者による修正依存かに基づく。,複文や長めの発話の中でも文法統制が保たれる場合は引き上げる。,見かけ上の統制がごく狭い暗記形に依存する場合は引き下げる。,中位ステップの統制指標。
ステップ,J4,文法運用,ハイブリッド,M-J4-2,動詞活用の正確さ,主要,割合,時制・相・丁寧さの活用の正確さを計算し，曖昧な場合はAIが確認する。,中,J4全体と同じバンド分けを用い，タスク関連度で重みづけする。,REP=0 統制が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は正しい形が自発的か，模倣／面接者による修正依存かに基づく。,複文や長めの発話の中でも文法統制が保たれる場合は引き上げる。,見かけ上の統制がごく狭い暗記形に依存する場合は引き下げる。,重要な文法指標。
ステップ,J4,文法運用,ハイブリッド,M-J4-3,否定／時制統制,補助,割合,否定と時間参照の統制を計算する。,低,安定しておりタスク関連性がある場合にEQを引き上げる。,REP=0 統制が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は正しい形が自発的か，模倣／面接者による修正依存かに基づく。,複文や長めの発話の中でも文法統制が保たれる場合は引き上げる。,見かけ上の統制がごく狭い暗記形に依存する場合は引き下げる。,中位ステップを補助する指標。
ステップ,J4,文法運用,ハイブリッド,M-J4-4,機能的文型の正確さ,補助,順序,タスク関連の高次文法パターン（可能・受身など）の統制をAIが判定する。,はい,高次パターンが関連的かつ統制されていればEQ=3を正当化しうる。,REP=0 統制が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は正しい形が自発立的か，模倣／面接者による修正依存かに基づく。,複文や長めの発話の中でも文法統制が保たれる場合は引き上げる。,見かけ上の統制がごく狭い暗記形に依存する場合は引き下げる。,高位ステップ文法。
ステップ,J4,文法運用,ハイブリッド,M-J4-5,誤りがあっても意味保持,補助,割合／順序,誤りがあってもどの程度意味が保たれるかをAIが判定する。,はい,コミュニケーションが十分成立している場合に引き下げを防ぎうる。,REP=0 統制が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は正しい形が自発的か，模倣／面接者による修正依存かに基づく。,複文や長めの発話の中でも文法統制が保たれる場合は引き上げる。,見かけ上の統制がごく狭い暗記形に依存する場合は引き下げる。,許容度指標。
ステップ,J5,結束性と接続,ハイブリッド,M-J5-1,高頻度接続表現の多様性,主要,カウント,生産的に用いられた基本接続表現の異なり数を数える。,低,EQ=1 1つまたは少数の接続表現が見られる；EQ=2 多様性がつながりある談話を支える；EQ=3 より広い結束範囲が安定している。,REP=0 結束が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は接続表現が自発生成か，提示／模倣依存かに基づく。,接続表現と指示装置が複数文の明確な結束を作る場合は引き上げる。,接続表現が挿入されていても談話が列挙的・断片的なら引き下げる。,4→5の主指標。
ステップ,J5,結束性と接続,ハイブリッド,M-J5-2,高頻度接続表現の正確さ,主要,割合,基本接続表現の使い方の適切さを計算／検証する。,中,EQバンドを上げる前に正確さが必要。,REP=0 結束が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は接続表現が自発生成か，提示／模倣依存かに基づく。,接続表現と指示装置が複数文の明確な結束を作る場合は引き上げる。,接続表現が挿入されていても談話が列挙的・断片的なら引き下げる。,多様性だけでは不十分。
ステップ,J5,結束性と接続,ハイブリッド,M-J5-3,指示装置の使用,補助,カウント／割合,文をつなぐ代名詞・指示詞・語彙反復を数える。,低,それらが実際の結束に寄与している場合にEQを引き上げる。,REP=0 結束が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は接続表現が自発生成か，提示／模倣依存かに基づく。,接続表現と指示装置が複数文の明確な結束を作る場合は引き上げる。,接続表現が挿入されていても談話が列挙的・断片的なら引き下げる。,ステップ6以上を支える。
ステップ,J5,結束性と接続,ハイブリッド,M-J5-4,談話結束性評価,主要,順序,文がまとまりのある日本語談話としてつながっているかをAIが評価する。,はい,安定性に応じてEQ=2または3を正当化しうる。,REP=0 結束が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は接続表現が自発生成か，提示／模倣依存かに基づく。,接続表現と指示装置が複数文の明確な結束を作る場合は引き上げる。,接続表現が挿入されていても談話が列挙的・断片的なら引き下げる。,形式レベルの結束判断。
ステップ,J5,結束性と接続,ハイブリッド,M-J5-5,低頻度／学術的接続表現の出現,補助,カウント,より学術的／低頻度の接続表現を数え，必要ならAIが検証する。,中,高位ステップでのEQ=3を支える。,REP=0 結束が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は接続表現が自発生成か，提示／模倣依存かに基づく。,接続表現と指示装置が複数文の明確な結束を作る場合は引き上げる。,接続表現が挿入されていても談話が列挙的・断片的なら引き下げる。,ステップ7〜8支援。
ステップ,J6,相互行為機能,ハイブリッド,M-J6-1,定型的やり取りの成功,主要,割合,挨拶や定型的やり取りの成功を計算する。,いいえ,EQ=1 定型的やり取りが成功；EQ=2 相互作用が定型を超える；EQ=3 広い機能範囲がある場合のみ。,REP=0 機能が1回のみ；REP=1 1タスク内；REP=2 異なる相互作用タイプ；REP=3 文脈横断で安定。,IND は機能達成に必要なプロンプト／支援量に基づく。,複数機能（質問，明確化，確認，交渉）を自立的に扱える場合は引き上げる。,成功が固定的ルーティンのみに依存する場合は引き下げる。,下位ステップのアンカー。
ステップ,J6,相互行為機能,ハイブリッド,M-J6-2,基本的依頼／応答の成功,主要,割合,必要情報を尋ねたり提供したりできる能力。,いいえ,複数文脈で十分柔軟ならEQ=2を正当化しうる。,REP=0 機能が1回のみ；REP=1 1タスク内；REP=2 異なる相互作用タイプ；REP=3 文脈横断で安定。,IND は機能達成に必要なプロンプト／支援量に基づく。,複数機能（質問，明確化，確認，交渉）を自立的に扱える場合は引き上げる。,成功が固定的ルーティンのみに依存する場合は引き下げる。,ステップ2〜4を支える。
ステップ,J6,相互行為機能,ハイブリッド,M-J6-3,質問生成,補助,カウント／割合,学習者が自ら生成した情報探索質問を数える。,低,自発的かつ文脈適切であればEQを引き上げる。,REP=0 機能が1回のみ；REP=1 1タスク内；REP=2 異なる相互作用タイプ；REP=3 文脈横断で安定。,IND は機能達成に必要なプロンプト／支援量に基づく。,複数機能（質問，明確化，確認，交渉）を自立的に扱える場合は引き上げる。,成功が固定的ルーティンのみに依存する場合は引き下げる。,ルーティンを超える指標。
ステップ,J6,相互行為機能,ハイブリッド,M-J6-4,相互作用の持続,主要,順序,複数ターンにわたり意味のある相互作用を維持できるかをAIが判定する。,はい,安定性に応じてEQ=2または3を正当化しうる。,REP=0 機能が1回のみ；REP=1 1タスク内；REP=2 異なる相互作用タイプ；REP=3 文脈横断で安定。,IND は機能達成に必要なプロンプト／支援量に基づく。,複数機能（質問，明確化，確認，交渉）を自立的に扱える場合は引き上げる。,成功が固定的ルーティンのみに依存する場合は引き下げる。,ステップ4以上の重要補助。
ステップ,J6,相互行為機能,ハイブリッド,M-J6-5,機能範囲の広がり,補助,順序,扱えるコミュニケーション機能の範囲をAIが判定する。,はい,より広い相互作用統制としてEQ=3を支える。,REP=0 機能が1回のみ；REP=1 1タスク内；REP=2 異なる相互作用タイプ；REP=3 文脈横断で安定。,IND は機能達成に必要なプロンプト／支援量に基づく。,複数機能（質問，明確化，確認，交渉）を自立的に扱える場合は引き上げる。,成功が固定的ルーティンのみに依存する場合は引き下げる。,J8との二重カウントを避ける。
ステップ,J7,日本語聴解処理,ハイブリッド,M-J7-1,ゆっくり明瞭な発話の理解,主要,割合,ゆっくり明瞭な発話の理解度を計算する。,いいえ,EQ=1 ゆっくり明瞭な入力を理解；EQ=2 ほぼ自然速度または長めの入力に対応；EQ=3 高負荷の自然発話に安定して対応。,REP=0 成功が1つのリスニング項目のみ；REP=1 1つのリスニングタスク内；REP=2 複数タスク／入力タイプ；REP=3 文脈横断で安定。,IND は必要な反復／簡略化量を反映：0 強い支援，1 繰返しプロンプト，2 軽い足場，3 自立処理。,追加支援なしにより長い／速い日本語を扱える場合は引き上げる。,正答が過度の反復や選択肢手掛かりに依存する場合は引き下げる。,初期アンカー。
ステップ,J7,日本語聴解処理,ハイブリッド,M-J7-2,ほぼ自然速度の理解,主要,割合,ほぼ自然速度の発話理解を計算する。,いいえ,安定していればEQ=2を正当化しうる。,REP=0 成功が1つのリスニング項目のみ；REP=1 1つのリスニングタスク内；REP=2 複数タスク／入力タイプ；REP=3 文脈横断で安定。,IND は必要な反復／簡略化量を反映：0 強い支援，1 繰返しプロンプト，2 軽い足場，3 自立処理。,追加支援なしにより長い／速い日本語を扱える場合は引き上げる。,正答が過度の反復や選択肢手掛かりに依存する場合は引き下げる。,中位〜高位ステップの識別指標。
ステップ,J7,日本語聴解処理,ハイブリッド,M-J7-3,長めの説明理解,主要,割合／順序,複数文の説明後の遂行を測定し，必要に応じてAIが妥当性を検証する。,中,負荷と安定性に応じてEQ=2または3を正当化しうる。,REP=0 成功が1つのリスニング項目のみ；REP=1 1つのリスニングタスク内；REP=2 複数タスク／入力タイプ；REP=3 文脈横断で安定。,IND は必要な反復／簡略化量を反映：0 強い支援，1 繰返しプロンプト，2 軽い足場，3 自立処理。,追加支援なしにより長い／速い日本語を扱える場合は引き上げる。,正答が過度の反復や選択肢手掛かりに依存する場合は引き下げる。,ステップ5以上を支える。
ステップ,J7,日本語聴解処理,ハイブリッド,M-J7-4,言語負荷下での理解,補助,順序,語彙・構造負荷が上がると成績が落ちるかをAIが判定する。,はい,主に上限判断／引き下げ判断に使う。,REP=0 成功が1つのリスニング項目のみ；REP=1 1つのリスニングタスク内；REP=2 複数タスク／入力タイプ；REP=3 文脈横断で安定。,IND は必要な反復／簡略化量を反映：0 強い支援，1 繰返しプロンプト，2 軽い足場，3 自立処理。,追加支援なしにより長い／速い日本語を扱える場合は引き上げる。,正答が過度の反復や選択肢手掛かりに依存する場合は引き下げる。,診断指標。
ステップ,J7,日本語聴解処理,ハイブリッド,M-J7-5,明確化要求頻度,補助,割合,反復／簡略化要求の頻度を計算する。,いいえ,頻度が高い場合，タスク難度で説明できない限りEQに上限を設ける。,REP=0 成功が1つのリスニング項目のみ；REP=1 1つのリスニングタスク内；REP=2 複数タスク／入力タイプ；REP=3 文脈横断で安定。,IND は必要な反復／簡略化量を反映：0 強い支援，1 繰返しプロンプト，2 軽い足場，3 自立処理。,追加支援なしにより長い／速い日本語を扱える場合は引き上げる。,正答が過度の反復や選択肢手掛かりに依存する場合は引き下げる。,逆補助指標。
ステップ,J8,レジスターと語用論,AI検証,M-J8-1,丁寧体／普通体の適切さ,主要,順序,文脈に対するスタイル選択の適切さをAIが判定する。,はい,EQ=1 一般的な丁寧体／普通体が部分的に適切；EQ=2 選択がしばしば適切；EQ=3 設定をまたいで柔軟かつ文脈感受的。,REP=0 適切なレジスターが1つの狭い状況のみ；REP=1 1タスク内；REP=2 複数設定／タスク；REP=3 文脈横断で安定。,IND はレジスター選択が自発的か，プロンプト依存／直前のモデル依存かに基づく。,聞き手や課題に応じて柔軟にレジスターを切り替えられる場合は引き上げる。,丁寧形が正確でも，定型的で文脈感受的でない場合は引き下げる。,ステップ7〜8の中核。
ステップ,J8,レジスターと語用論,AI検証,M-J8-2,定型の丁寧表現の統制,補助,割合,一般的な丁寧表現の正確さを計算し，AIが定型使用と柔軟使用を区別する。,はい,EQ=1〜2を支えうるが，これ単独では高い語用論を正当化しない。,REP=0 適切なレジスターが1つの狭い状況のみ；REP=1 1タスク内；REP=2 複数設定／タスク；REP=3 文脈横断で安定。,IND はレジスター選択が自発的か，プロンプト依存／直前のモデル依存かに基づく。,聞き手や課題に応じて柔軟にレジスターを切り替えられる場合は引き上げる。,丁寧形が正確でも，定型的で文脈感受的でない場合は引き下げる。,定型統制と柔軟統制の区別。
ステップ,J8,レジスターと語用論,AI検証,M-J8-3,文脈に適したフレーミング,補助,順序,冒頭・結び・相互作用表現が場面／目的に適切かをAIが判定する。,はい,定型を超えて適切に使われればEQを引き上げる。,REP=0 適切なレジスターが1つの狭い状況のみ；REP=1 1タスク内；REP=2 複数設定／タスク；REP=3 文脈横断で安定。,IND はレジスター選択が自発的か，プロンプト依存／直前のモデル依存かに基づく。,聞き手や課題に応じて柔軟にレジスターを切り替えられる場合は引き上げる。,丁寧形が正確でも，定型的で文脈感受的でない場合は引き下げる。,語用論的補助。
ステップ,J8,レジスターと語用論,AI検証,M-J8-4,高度なレジスター感受性,主要,順序,聞き手との距離・役割・フォーマリティに応じた調整をAIが判定する。,はい,複数文脈で安定していればEQ=3を正当化しうる。,REP=0 適切なレジスターが1つの狭い状況のみ；REP=1 1タスク内；REP=2 複数設定／タスク；REP=3 文脈横断で安定。,IND はレジスター選択が自発的か，プロンプト依存／直前のモデル依存かに基づく。,聞き手や課題に応じて柔軟にレジスターを切り替えられる場合は引き上げる。,丁寧形が正確でも，定型的で文脈感受的でない場合は引き下げる。,高位ステップ指標。
ステップ,J9,自己モニタリングと修正,ハイブリッド,M-J9-1,自己修正数,主要,カウント,自発的な自己修正の数を数える。,いいえ,EQ=1 ある程度の自発的モニタリングが見られる；EQ=2 修正が有効かつ反復的；EQ=3 言い換えが正確さ／柔軟性を支える。,REP=0 修正が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は修正が自己主導（高）か，プロンプト依存（低）かに基づく。,外部修正なしに自己モニタリングが意味改善につながる場合は引き上げる。,修正が明示的モデル提示後の反復修正のみなら引き下げる。,補助的基準。
ステップ,J9,自己モニタリングと修正,ハイブリッド,M-J9-2,正確さのための言い換え,主要,順序,学習者が意味を改善するために言い換えているかをAIが判定する。,はい,言い換えが機能的であればEQ=2または3を正当化しうる。,REP=0 修正が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は修正が自己主導（高）か，プロンプト依存（低）かに基づく。,外部修正なしに自己モニタリングが意味改善につながる場合は引き上げる。,修正が明示的モデル提示後の反復修正のみなら引き下げる。,高次統制。
ステップ,J9,自己モニタリングと修正,ハイブリッド,M-J9-3,促し後の修正成功,補助,割合,最小限の促しの後に出力を修正できるかを測る。,中,EQ=1〜2を支えるが，これ単独では高い統制にはならない。,REP=0 修正が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は修正が自己主導（高）か，プロンプト依存（低）かに基づく。,外部修正なしに自己モニタリングが意味改善につながる場合は引き上げる。,修正が明示的モデル提示後の反復修正のみなら引き下げる。,促しあり補助のみ。
ステップ,J9,自己モニタリングと修正,ハイブリッド,M-J9-4,意味を保つ言い換え,補助,順序,言い換えが意図した意味を保っているかをAIが判定する。,はい,言い換えが正確かつ有効であればEQを引き上げる。,REP=0 修正が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は修正が自己主導（高）か，プロンプト依存（低）かに基づく。,外部修正なしに自己モニタリングが意味改善につながる場合は引き上げる。,修正が明示的モデル提示後の反復修正のみなら引き下げる。,高度な修正。
